"","message","likes_count","comments_count","shares_count"
"1","a teenager is being questioned by garda after he was arrested last night on suspicion of handling 2,000 worth of stolen goods.",42,18,22
"2","a syndicate from galway have collected their half-a-million euro win from national lottery headquarters today.",175,38,5
"3","almost 5,000 worth of damage was caused to an inis mr pub during a burglary on saturday morning.",73,70,40
"4","a man who is sick of people putting images of him on the internet, has admitted slapping a womans mobile phone out of her hand because he believed she was taking a picture of him in eyre square late one night.",85,134,20
"5","a file is being prepared for the director of public prosecutions following an incident involving a weapon in carraroe at the weekend.",33,35,6
"6","a 46-year-old man terrorised a former friend and neighbour, threatening to kill her and her family by burning their house down.",29,5,3
"7","a chef, who took exception to a bus driver asking for more money to fully cover a fare, was convicted and fined for being threatening and abusive in public, at galway district court.",58,32,13
"8","spiddal-based pdraig  cidigh tops the list of galway senators business interests, with a portfolio of shares and directorships in aviation and transport companies and nursing homes.",29,12,6
"10","an inner relief road long mooted for tuam has now been deemed surplus to requirements  in light of the infrastructure that was provided around the town late last year.",5,1,1
"11","galway county council has refused planning permission for a filling station and two drive-thru restaurants adjacent to the carpark of loughrea shopping centre. there was strong local opposition to the plans, with almost 40 local residents putting their names to one of five objections.",19,5,6
"12","a leading publican in north galway is to keep his doors firmly shut this good friday  despite the change in the licensing laws allowing bars to open for the first time.",501,110,46
"13","a man was taken to university hospital galway after falling from a roof in the city in the early hours of this morning.",22,4,3
"14","all the colour from this years galway city st patricks day parade (video: joe oshaughnessy)",244,21,92
"15","the grand slam ... and the connacht rugby input! ",1096,29,134
"16","even lidl ireland saw the funny side of this float at the spiddal parade!",441,22,65
"17","all you need to know about tomorrow's st patrick's day festivities in galway city and county.",83,18,33
"18","the 19-year-old man tragically killed in a crash in williamstown this morning has been named. rip.",12,5,1
"19","a moycullen man has been sentenced to four years in prison for threatening to rape and kill a woman he met in a nightclub.",71,51,69
"20","a young man has been killed in a crash near williamstown overnight. rip.",40,20,11
"23","a decision is looming from cie management on outline proposals for the development of ceannt station quarter  a project which will cost several hundred million euro and shape the future of galway city centre.",53,6,7
"34","garda are planning to carry out house-to-house enquiries, following an assault and robbery in the city last night.",29,8,33
"35","win 2 tickets to the aib gaa club championship finals - corofin v nemo rangers 

and the winner is ...

cian mcginn",7,1,4
"58","comedian, actor and author russell brand enjoying himself in galway city this evening ahead of his appearance in leisureland.",393,19,0
"59","the front page of this weeks connacht tribune. in shops from early thursday morning or to buy online at:

http://connachttribune.ie/digital-editions",19,2,5
"60","a 43-years-old father of five shouted abuse at a judge who had imposed an eight-month sentence on him for continuous driving offences, at galway district court.",42,5,9
"61","a man threatened to burn a gardas house down and also threatened his family while garda and ambulance personnel were dealing with an accident.",59,9,5
"62","cycling campaigners have urged galway city council to abandon half of the planned urban village of ardaun and completely redesign roads in the other part or risk creating yet another inherently car dependent and unsustainable suburb.",17,0,0
"63","five tax defaulters reached settlements totalling 1.5 million, according to the latest quarterly report from revenue.",22,7,9
"64","a woman has been taken to uhg following a road traffic crash in the city this morning.",12,0,2
"65","dolphin spotted feeding off nimmo's pier, galway at sunrise this morning ..... pic. d. mcguire",543,43,77
"66","councillors throughout the country are envious of galways bank of creative and artistic talent, a city councillor claimed. billy camerons comments came during a discussion on the city councils arts act grant scheme for 2018  the local authority has allocated a total of more than 400,000 to 75 different organisations in the city.",17,3,5
"67","the amount of money collected by galway city council from the owners of derelict sites has been blasted as appalling  as anger mounts over the number of dilapidated buildings blighting the citys image.",54,13,16
"68","the funeral will take place tomorrow of clifden native eileen lovett  who has died at the age of 106. r.i.p.",166,23,14
"69","a taxi driver has been sentenced to two years in prison with the final year suspended for sexually assaulting a schoolgirl in his car.",104,157,206
"70","a man who sat in a sleeping bag as he begged in galway city centre last december, had travelled specially from his home in athlone to do so, galway district court heard.",69,35,31
"71","one of the busiest roads in the county is set for a further upgrade as part of a 5 million investment on the main n63 galway to roscommon route.",160,57,29
"72","a galway td has accused the government of linguistic gymnastics in answering questions about the health crisis at uhg and merlin park hospitals.",23,3,4
"73","works are to commence on the redevelopment of the old shannon oaks hotel in portumna within a matter of months  meaning it could be reopened for business by the end of the summer.",236,45,54
"74","pearse stadium looking in good condition for todays double header. a week ago it was under a blanket of snow!",62,0,2
"75","a 21-year-old man has appeared before a special sitting of galway district court charged with possession of more than 13,000 worth of heroin for sale or supply.",63,47,15
"76","former rt producer and ballinasloe native kieran creaven has been sentenced to 18 months in prison for child sex offences.",57,71,63
"77","a gay man living in a city estate says he has been subjected to ongoing homophobic abuse by local teenagers.",41,45,24
"78","galway city council is preparing the next phase of plans for the development of a 6.5 million cultural tourism hub at spanish arch.",10,0,4
"79","the decision on replacing the kirwan roundabout came down to the needs of one family versus the needs of the city, according to city council chief executive brendan mcgrath.",33,1,8
"80","garda have warned this week of the potentially catastrophic consequences of illegal drug use following the hospitalisation of two nui galway students on wednesday after they had ingested an hallucinatory substance.",90,34,105
"89","the southbound lane of the m18 between the junctions for kilcolgan and gort is closed to traffic following a multiple vehicle crash. a number of emergency service vehicles are attending the scene.",41,17,63
"91","the galway duo of greg cunningham and daryl horgan have both been named in martin o'neill's 30-man republic of ireland squad for the upcoming friendly away to turkey on friday march 23. both men play for preston north end in the english championship.",95,10,4
"92","apologies to our readers for the error with our crossword this week - the grid printed does not match the clues. this will be rectified in tomorrow's galway city tribune edition.",40,58,8
"114","the front page of this weeks connacht tribune. in shops from early thursday morning or to buy online at:

http://connachttribune.ie/digital-editions",16,1,1
"115","executives from airbnb have agreed to meet with galway city council amid claims growth in the popularity of its online short-term holiday letting website is worsening the citys housing shortage.",25,12,1
"116","an armed robber has been sentenced to eight years in prison with the final three years suspended, for robbing a shop at knifepoint.",54,13,11
"118","visitor restrictions are in place on two wards in university hospital galway due to an outbreak of the winter vomiting bug.",53,20,88
"119","shops on william street in the city centre were forced to close for a time today, after a fire caused by a suspected electrical fault.",40,18,18
"120","plans for more than 70 new social housing units in knocknacarra have gone on public display.",68,24,18
"121","the regions ambulance chief has pinpointed galway city as his most problematic location for cover.",27,5,7
"122","a man walked calmly out of a house where he had stabbed another man multiple times and put a finger to his lips, gesturing to onlookers to keep quiet about what they had just witnessed.",41,13,7
"123","the development of a house on one of the most idyllic islands off the galway coast has been rejected by the higher planning authority  overturning a decision by county planners to grant permission for the home.",46,27,17
"124","two government ministers appear to be at odds over the future of the western rail corridor between athenry and claremorris.",27,13,9
"125","a man was arrested and will be appearing before the courts in relation to an incident that began when a car was stolen near galway city  after a woman was threatened by a male who had picked up a knife in the kitchen area of the house.",48,20,28
"126","galway county council says crews and contractors are continuing to work across the county, and all regional routes in the east and throughout the county are passable with extreme care, as there are banks of snow on the verges.",24,1,9
"128","snow across galway is continuing to melt today  but there is a risk it will cause some localised flooding.",17,0,2
"129","e.t. created by sinead and aine mcguinness",592,54,19
"130","carraroe under snow on saturday morning (photo: luke lydon)",124,12,35
"131","3-week-old mason worn out after his day building snowmen (photo: ruth mccormack)",173,10,3
"132","thoor ballylee in the snow (photo:teresa brady)",137,9,16
"133","ryan kennedy, aged 10, from clonbrock, ahascragh, put a lot of work into this with his dog marley and dad.",78,6,10
"134","lisa kennedy and kaido enjoying sitting on the ice throne",32,0,1
"135","there are water restrictions in carna/kilkieran, roundstone, ros muc, carraroe and laurencetown/eyrecourt tonight due to unprecedented demand.
irish water working in partnership with galway county council is restricting water supply to the carna/kilkieran, roundstone, and rs muc water supplies tonight from 10pm until 9am tomorrow morning as well as the laurencetown and eyrecourt zones of the ballinasloe regional water supply. unprecedented demand due to taps being left running is causing reservoir levels to drop. we are appealing to customers to turn off taps and check for leaks on their own properties and in holiday homes and unoccupied premises and to report them to irish waters customer care helpline on 1850 278 278.
 
the carraroe water supply was restored to customers today following water restrictions on the scheme yesterday and overnight. the reservoirs have filled sufficiently to allow supply to return however, due to increased demand restrictions will be in place again tonight and for the next few nights until demand regularises and the water treatment plant can meet the demand needs. it may take several hours for all sections of the network to get water supply once it is restored again in the morning. water supply to the village and the nursing home is being maintained at all times.
 
irish water is grateful to galway fire service who delivered bottled water out to carraroe yesterday evening on behalf of the utility and the local fire service distributed it to vulnerable customers.
 
across co galway customers are being advised that due to the extremely cold weather conditions and exceptionally high water demand, water treatment plants are struggling to keep up with supply demands. 
 
customers are being asked to conserve water to avoid reservoirs emptying and water pressure to homes and businesses being affected.
 
night time restrictions on the tully and letterfrack supplies has enabled the reservoirs to refill to some degree and full supply has been restored this morning. irish water would like to thank customers supplied by these schemes for adhering to our water conservation notice yesterday. there will be further restrictions on this scheme tonight.
 
a repair crew travelled to inishbofin this morning (saturday) to carry out repairs to a mechanical fault at the plant. the plant is back in production with limited capacity. there will be water restrictions in place tonight. customers on the island are urged to conserve water. bottled water was delivered to the island today.
 
williamstown is suffering a major water supply issue due to a leak in the town. leak repair crews were unable to find the leak today. supply will be rotated to customers in the area over the coming days and customers will experience intermittent disruptions and/or loss of supply.
 
in east galway customers are again urged to conserve water by turning off taps in properties and farm buildings, not running dishwashers or washing machines where possible and taking showers instead of baths.
 
irish water is appealing to any customers with external taps to ensure that these are securely turned off as we try to protect the levels of our reservoirs and secure drinking water for local communities. a continuous flow from an external tap over a 24 hour period could use the equivalent of the daily water usage of 40 households.
 
the following areas are experiencing low pressure and/or loss of supply due to an increase in demand and some issues at treatment plants: kilkerrin/moylough, mountbellew, dunmore/glenamaddy, ahascragh, williamstown and tuam.
 
irish water working in partnership with galway county council would like to apologise to customers for the inconvenience this is causing and assures customers that repairs will be completed as soon as possible. irish water would also like to thank the local authority staff for their efforts in keeping water supplies running in very difficult conditions.
 
once further information is available we will issue another update. updates will also be posted to the supply and service section of irish waters website at www.water.ie/water-supply/supply-and-service-update/",33,32,64
"136","pearse stadium under a white blanket today ... needless to say, tomorrows official gaa galway double-header is not going ahead! (video: joe oshaughnessy)",124,16,13
"137","the show must go on . . . bart keane feeding his suckler herd at keeraun, rahoon. (video: joe oshaughnessy)",122,19,22
"138","road conditions remain treacherous in many areas of the county, with the east still the worst affected.",40,3,9
"139","well done to the members of galway civil defence who have been working tirelessly over the past few days supporting the ambulance service and involved with local nurses getting them safely to and from house calls all over the county.",205,16,13
"140","divided loyalties ... ethan kelly in knocknacarra",137,9,5
"145","well done to the galway city council crews working throughout the past few days in very challenging conditions.",262,14,9
"146"," travel update:

bus ireann: all galway city services to operate from 0900, with some delays and curtailments.
all athlone town services to operate
rural services in the west are operating with some curtailments and cancellations.
expressway services are operating with some departures cancelled. 0730 route 20, 0705 & 0805 route 51, 0500 & 0800 route x51 and 0600 route 64 will not operate
a service at 0830 from galway to dublin will operate as route x20 galway, gmit, loughrea, portiuncula hospital, ballinasloe, athlone, dublin airport, dublin 

irish rail:
train services will not resume until approximately 12.00hrs. 
service details will be confirmed as early as possible this morning, and no later than 10.00hrs.

gobus: all servcies are operating this morning with a delay of approximately 10 minutes on arrival into dublin & dublin airport. please leave additonal time for your journey 

city direct: normal service. 

citylink/eireagle: see attached image",59,27,57
"147","galway city council update:

there are high spring tides at the moment- the highest was earlier on saturday morning at 5.50am. the risk of over-topping in the docks/spanish arch/claddagh area & in salthill was low. galway city council  crews were on-site on saturday morning from 5am.

roads into and through galway harbour were closed as a precaution as high tide came & went. water levels were below quay walls. no over-topping or flooding occurred in the area or in salthill.
roads in the harbour were reopened following an uneventful high tide. 

our intrepid roads crews continue salting primary routes around city as they have done since 5 am. caution still advised out & about.",28,1,4
"148","galway in the snow, captured through the lens of joe oshaughnessy.",693,51,577
"149","mirtn and marley enjoying the snow on inismein",33,0,3
"150","standing tall at 11 ft 6 from colin odonnell lynch",200,9,27
"151","the 14-foot beast from the west in loughrea (photo: dan doorhy)",645,50,78
"152","nathan and shane anderson from garra de brn",93,13,1
"153","one of the most prestigious ever medical and training seminars to be hosted in the city fell victim to the weather earlier this week  at a cost that will run into a six-figure sum.",28,7,3
"154","o'donnellan & joyce auctioneers holding open viewings today for this beautiful, compact, owner-occupied single-storey igloo with large lawns to the front and side, ample parking and overlooking a green in a sought-after location.",578,76,113
"155","darth vader built by alan mulryan in ballybrit",112,9,12
"156","dire quill and amy dolan with their snowperson in craughwell",14,1,0
"157","craughwell ac athlete still gets his hurdle training in. (photo: tracy moran)",7,0,0
"158","having a read of the tribune (photo: declan flaherty)",31,4,2
"159","building an igloo in lios na s, portumna (photo: kym hoary)",95,3,5
"160","busy day for bernie, michel, declan forde and norita owens",27,6,3
"161","tullahill loughrea at 4pm today (photo: sen walsh)",28,6,5
"162","15-month-old max cunningham enjoying the snow in knocknacarra.",9,0,0
"163","the connacht tribune is the newspaper of choice for snowmen. photographed in ballydugan by caroline kennedy.",44,3,9
"164","the biggest igloo in salthill! (photo: seamus odonoghue)",67,2,5
"165","picturesque . . . snow on inis mr today(photo: annemarie doherty flaherty)",26,1,1
"166","keith gardiner from who knows band built his own drum kit",68,8,15
"167","feeding time on loughrea lake (photo: caroline quirke)",13,0,1
"168","sean phadraic contemplating life in eyre square (photo: tribesman photography)",29,2,3
"169","a strong fullback line (photo: colette shiel)",48,0,2
