"","keyword","Posts","Popularity","likes","comments","shares"
"1","kayaking","help to bring the remains of david and alex home.

on saturday, 20th january, nui galway student david higgins, of tralee, and alex mcgourty of calry, co sligo, lost their lives whilst kayaking the abianco river, in the macas region, ecuador. 

kayaking was david and alex's passion, and they spent their lives travelling and dreaming of challenges and experiences. meeting new people and spreading a zest for life with everyone who was lucky to meet them.

they were  vibrant, kind souls who lived life to its full potential, and words cannot describe what they meant to their family and friends.

now, it's time to bring them home one last time. to help david's and alex's family do this, their friends have set up a gofundme page to gather funds to support their journey. 

any help is appreciated, no matter how small.",83,52,4,27
"2","kayaking","the body of a galway resident, who went missing after a kayaking accident in ecuador last weekend, has been recovered.",53,41,8,4
"3","investigating","garda are investigating an armed robbery at derrydonnell filling station near athenry.",263,90,95,78
"4","investigating","bus ireann is investigating another allegation of racist behaviour by one of its drivers in galway.",82,42,22,18
"5","investigating","garda in loughrea, co galway are investigating a single vehicle road traffic collision that occurred in loughrea on the 6th february 2018. 

the collision occurred at approximately 8am this morning on barrack street, loughrea when a car collided with a steel barrier. the male driver(77 years) was assisted from the car by passer-bys and they performed cpr on the man.
 
he was taken by ambulance to portiuncla hospital in ballinasloe where he was later pronounced dead. no one else was injured in the collision.

garda in loughrea are appealing for witnesses to contact them on 091 842870, the garda confidential line on 1800 666 111 or any garda station.",17,7,0,10
"6","crimes","12 garda stations in galway have no access to the pulse, the computer system used to log and track crimes and criminals in ireland.",31,14,12,5
"7","crimes","there are now 108 community text alert schemes spread across co. galway  and according to a senior garda they are playing key roles in helping to prevent a range of crimes being committed  and especially so in more rural areas.",67,54,3,10
"8","damage","almost 5,000 worth of damage was caused to an inis mr pub during a burglary on saturday morning.",183,73,70,40
"9","damage","the more things change, the more they stay the same ... storm damage to salthill promenade 75 years ago (january 1943). council workmen repairing serious damage, which included a miniature cave at the ""toe"" of the wall caused by the fury of the waves. (photo from tribune archive)",53,41,1,11
"10","damage","ft: galway ladies 1-7 2-7 mayo ladies. it is first blood to mayo as galway's comeback falls just short. the damage was done in the first 16 minutes when mayo scored 2-5. galway were always chasing the game and although a late goal from cormican goal gave the tribeswomen hope, sloppy play in possession and poor wides meant that mayo took the points",15,13,0,2
"11","damage","from galway city council environment dept:
city centre swept and concentrating on salthill area and sea weed with road sweepers. we have two crews going around to businesses collecting any flood damage furniture/waste and bringing away.",11,11,0,0
"12","missing","the body of a galway resident, who went missing after a kayaking accident in ecuador last weekend, has been recovered.",53,41,8,4
